,Time Stamp,LUT ID,Satellite ID,Pass ID,Type,Beacon ID,Rx Time,Time Offset (ns),Frequency (Hz),Freq Offset (Hz),Freq Bandwidth (Hz),CNR (dB-Hz),SNR (dB-Hz),Mod Index (rad),Short Msg Index,FS Message Index,FS Bit Offset,Bit Errors Fsynch,Bit Rate (bps),Beacon Message
62,2020/081 21:28:23.825,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:28:23.825,0,406034229.195,0.000,2.861,40.369,41.963,1.280,0.257,0,5001,3,399.960,FFFE21 53CE00 000000 000D14 8E504D A9EF5D
63,2020/081 21:27:35.066,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:27:35.066,0,406034229.664,0.000,2.861,39.970,41.182,1.257,0.259,0,4998,0,400.037,FFFE2F 53CE00 000000 000D14 8E505C 7A9B09
64,2020/081 21:26:44.916,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:26:44.916,0,406034228.633,0.000,2.861,40.479,41.911,1.257,0.273,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E5075 EB2144
65,2020/081 21:25:53.431,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:25:53.431,0,406034228.633,0.000,2.861,39.466,41.635,1.263,0.267,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E5030 123890
66,2020/081 21:25:02.256,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:25:02.256,0,406034228.773,0.000,2.861,40.044,41.956,1.263,0.275,0,5000,0,400.052,FFFE2F 53CE00 000000 000D14 8E50C9 B8D500
67,2020/081 21:24:14.138,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:24:14.138,0,406034227.977,0.000,2.861,39.778,42.236,1.259,0.282,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E5017 730408
68,2020/081 21:23:22.356,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:23:22.356,0,406034228.172,0.000,2.861,40.706,42.063,1.257,0.280,0,5000,0,400.022,FFFE2F 53CE00 000000 000D14 8E50A4 9E9677
69,2020/081 21:22:33.817,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:22:33.817,0,406034228.500,0.000,2.861,39.792,41.070,1.262,0.261,0,4961,0,400.006,FFFE2F 53CE00 000000 000D14 8E5065 F77656
70,2020/081 21:18:26.374,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:18:26.374,0,406033961.445,0.000,2.861,40.727,42.510,1.256,0.288,0,5009,0,399.361,FFFE2F 53CE00 000000 000D14 8E506E 44386B
71,2020/081 21:17:35.231,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:17:35.231,0,406034226.398,0.000,2.861,39.073,41.232,1.257,0.266,0,5000,0,400.037,FFFE2F 53CE00 000000 000D14 8E5019 4F8335
72,2020/081 21:16:46.745,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:16:46.745,0,406034959.953,0.000,2.861,40.470,42.234,1.260,0.303,0,4974,0,401.815,FFFE2F 53CE00 000000 000D14 8E506D 3F2F0F
73,2020/081 21:15:57.257,3169,216,1226,0001,A79C0 00000 00001,2020/081 21:15:57.257,0,406034227.539,0.000,2.861,40.556,41.972,1.283,0.288,0,5000,1,399.975,FEFE2F 53CE00 000000 000D14 8E5059 F9CDF7
74,2020/081 19:43:47.964,3169,216,1226,0001,A79C0 00000 00001,2020/081 19:43:47.964,0,406034221.555,0.000,3.815,31.930,33.127,1.334,0.305,0,79,2,399.852,FFFE23 53CE00 000000 000D14 8E50ED E1655F
